date,cases,deaths
2020-04-01,26930,1021
2020-04-02,29717,1216
2020-04-03,32318,1391
2020-04-04,35099,1556
2020-04-05,25616,1368
2020-04-06,30916,1526
2020-04-07,30337,2234
2020-04-08,31820,2085
2020-04-09,34699,2120
2020-04-10,33473,2263
2020-04-11,31720,2084
2020-04-12,27143,1681
2020-04-13,25769,1764
2020-04-14,26691,2705
2020-04-15,30033,2752
2020-04-16,31613,2349
2020-04-17,31509,2289
2020-04-18,28398,1951
2020-04-19,25334,1520
2020-04-20,27395,1837
2020-04-21,25514,2672
2020-04-22,28831,2371
2020-04-23,33776,2169
2020-04-24,36741,2132
2020-04-25,34408,1967
2020-04-26,26735,1253
2020-04-27,23197,1442
2020-04-28,24651,2394
2020-04-29,26555,2514
2020-04-30,30357,2210
